Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price,Price_per_sqft
Belapur,1134.02,2.0,2.0,22.0,13.0,17.2,0,1,12172580.0,10734.008218549938
Kharghar,1546.29,2.0,3.0,11.0,36.0,8.9,0,1,27437551.0,17744.117209579057
Ulwe,913.53,2.0,1.0,13.0,14.0,5.4,0,1,14531832.0,15907.339660438081
Ulwe,1235.64,2.0,2.0,3.0,7.0,7.1,0,0,12153214.0,9835.562137839499
Panvel,789.17,2.0,2.0,7.0,33.0,7.5,0,0,13839792.0,17537.149156708947
Vashi,282.05,2.0,1.0,8.0,16.0,9.8,1,1,3701975.0,13125.243751107959
Panvel,977.14,2.0,1.0,24.0,25.0,13.1,0,1,10674665.0,10924.396708762306
Nerul,1708.72,1.0,4.0,16.0,13.0,6.5,1,1,20429700.0,11956.142609672737
Kharghar,862.45,2.0,4.0,18.0,10.0,12.6,1,1,11795952.0,13677.25897153458
Nerul,4145.06,2.0,2.0,16.0,7.0,5.7,0,0,56395024.0,13605.357702904179
Kharghar,1297.84,2.0,2.0,28.0,3.0,16.1,0,1,18970194.0,14616.743204092956
Ulwe,2990.07,3.0,4.0,16.0,36.0,11.1,1,0,55030925.0,18404.560762791505
Cbd Belapur,805.89,1.0,2.0,10.0,2.0,11.7,0,0,8253669.0,10241.681867252355
Panvel,954.46,4.0,3.0,1.0,31.0,12.3,0,0,14746774.0,15450.38451061333
Nerul,687.43,2.0,4.0,27.0,27.0,6.9,1,1,9013010.0,13111.167682527677
Belapur,431.31,3.0,3.0,8.0,39.0,7.8,0,1,5508989.0,12772.69017643922
Kharghar,529.94,1.0,3.0,24.0,39.0,12.5,1,0,7735492.0,14596.920406083706
Nerul,629.24,3.0,4.0,12.0,14.0,6.7,1,0,7110691.0,11300.44339202848
Airoli,8472.75,2.0,4.0,11.0,13.0,9.7,1,0,105722413.0,12477.933728718539
Ghansoli,1196.7,1.0,3.0,6.0,23.0,4.2,1,0,12048732.0,10068.297819002255
Ulwe,108.86,1.0,2.0,7.0,30.0,1.9,1,0,895211.0,8223.507257027375
Panvel,429.92,2.0,3.0,34.0,31.0,17.3,0,0,4706233.0,10946.764514328246
Vashi,82.12,2.0,3.0,10.0,29.0,12.9,0,0,727600.0,8860.204578665367
Panvel,847.34,2.0,4.0,8.0,13.0,5.0,1,0,11752618.0,13870.014397998442
Panvel,353.02,2.0,3.0,32.0,19.0,2.0,0,1,5451755.0,15443.190187524788
Ulwe,232.77,1.0,2.0,27.0,2.0,6.3,1,0,2835586.0,12181.922068995145
Panvel,1302.7,2.0,3.0,31.0,6.0,1.9,1,1,15604654.0,11978.701159131035
Ghansoli,1331.1,2.0,4.0,9.0,32.0,3.3,0,0,17586979.0,13212.364961310195
Panvel,650.26,4.0,1.0,10.0,8.0,6.7,0,1,9440187.0,14517.557592347677
Kharghar,864.62,2.0,4.0,18.0,26.0,9.9,0,1,11820390.0,13671.19659503597
Ulwe,419.8,2.0,3.0,4.0,31.0,12.2,0,0,4569608.0,10885.202477370176
Nerul,851.25,2.0,1.0,34.0,26.0,20.9,0,0,13191692.0,15496.848164464023
Panvel,456.6,2.0,3.0,2.0,39.0,0.9,0,0,6369746.0,13950.385457731056
Panvel,455.33,2.0,3.0,11.0,8.0,5.4,1,0,4417179.0,9701.049788065799
Vashi,1003.77,1.0,3.0,17.0,22.0,11.5,1,1,16844616.0,16781.35030933381
Cbd Belapur,1240.72,4.0,4.0,19.0,26.0,4.2,0,1,26906861.0,21686.489296537493
Ghansoli,802.17,4.0,3.0,16.0,39.0,0.2,0,0,15292698.0,19064.160963386814
Panvel,1150.27,3.0,3.0,16.0,20.0,8.3,0,1,13429997.0,11675.517052518104
Ulwe,933.47,1.0,2.0,6.0,24.0,8.1,0,0,16971693.0,18181.294524730307
Ulwe,840.86,3.0,4.0,10.0,18.0,13.8,1,1,11618478.0,13817.375068382371
Vashi,54.86,1.0,3.0,22.0,2.0,6.0,1,1,975419.0,17780.149471381697
Kharghar,1062.81,2.0,1.0,34.0,2.0,7.1,1,0,15371966.0,14463.512763334933
Kharghar,696.69,1.0,4.0,11.0,5.0,7.4,0,0,9388518.0,13475.890281186754
Nerul,823.57,4.0,3.0,5.0,9.0,9.9,0,1,16599303.0,20155.30313148852
Airoli,892.36,2.0,3.0,9.0,8.0,0.7,0,1,14608074.0,16370.157783854049
Nerul,114.57,4.0,3.0,24.0,36.0,0.7,1,1,1716959.0,14986.113293183207
Kharghar,929.0,2.0,2.0,15.0,6.0,7.1,1,1,11979195.0,12894.720129171152
Kharghar,1175.71,2.0,3.0,20.0,39.0,5.0,0,0,12102117.0,10293.45416811969
Kharghar,1842.52,3.0,3.0,18.0,18.0,11.8,0,0,27719758.0,15044.481471028808
Belapur,228.45,2.0,4.0,14.0,6.0,6.4,1,1,2826294.0,12371.6086671044
Belapur,92.22,2.0,1.0,25.0,29.0,19.4,0,0,112277.0,1217.4907829104316
Ulwe,988.29,2.0,3.0,2.0,7.0,4.4,1,0,17223595.0,17427.673051432273
Ghansoli,552.36,1.0,3.0,5.0,22.0,7.8,0,0,8678291.0,15711.295169816785
Belapur,372.58,2.0,4.0,5.0,22.0,12.1,0,1,3470891.0,9315.827473294326
Nerul,713.49,1.0,1.0,24.0,27.0,3.1,0,1,9117343.0,12778.515466229379
Kharghar,3920.17,2.0,2.0,9.0,38.0,17.0,1,1,57847570.0,14756.39321764107
Ghansoli,1115.26,4.0,3.0,22.0,30.0,6.6,1,0,16480448.0,14777.225041694313
Panvel,521.26,3.0,2.0,5.0,8.0,3.5,1,0,8701633.0,16693.460077504507
Kharghar,138.93,2.0,1.0,15.0,27.0,2.7,0,1,1820950.0,13106.960339739437
Airoli,536.22,2.0,1.0,18.0,6.0,0.5,1,1,6224682.0,11608.44802506434
Nerul,882.65,2.0,1.0,4.0,1.0,6.0,1,1,11531369.0,13064.486489548519
Ghansoli,1258.89,2.0,1.0,15.0,20.0,5.4,0,0,22644323.0,17987.53107896639
Kharghar,1073.93,1.0,3.0,7.0,15.0,11.8,0,1,12348233.0,11498.173065283583
Kharghar,1244.57,3.0,4.0,30.0,9.0,4.2,0,0,18459795.0,14832.267369452904
Panvel,858.25,3.0,4.0,28.0,21.0,6.5,0,0,17654989.0,20570.91639965045
Kharghar,3031.53,1.0,4.0,34.0,7.0,6.8,0,0,52413390.0,17289.41821456492
Ghansoli,1134.11,3.0,2.0,12.0,23.0,9.2,0,0,18605602.0,16405.46507834337
Cbd Belapur,1060.72,2.0,2.0,12.0,34.0,18.0,1,0,16039115.0,15120.96971868165
Airoli,491.64,1.0,1.0,12.0,16.0,11.1,0,0,8962423.0,18229.645675697666
Vashi,938.46,1.0,4.0,3.0,32.0,16.0,1,1,17197580.0,18325.32020544296
Ghansoli,87.95,2.0,1.0,7.0,34.0,9.4,1,0,718677.0,8171.42694712905
Panvel,1519.85,2.0,3.0,27.0,14.0,17.3,1,1,18804405.0,12372.540053294733
Ulwe,1038.63,2.0,1.0,15.0,23.0,9.9,0,0,10320009.0,9936.174576124316
Kharghar,1320.64,2.0,3.0,8.0,13.0,1.4,0,0,15110282.0,11441.63587351587
Ulwe,777.94,2.0,2.0,29.0,8.0,8.3,0,0,11460667.0,14732.070596704116
Nerul,583.49,2.0,1.0,29.0,34.0,16.1,1,0,6600229.0,11311.640302318805
Ulwe,443.52,4.0,4.0,8.0,29.0,18.5,1,0,6221211.0,14026.900703463203
Panvel,874.76,2.0,2.0,12.0,6.0,5.9,0,0,9795872.0,11198.353834194522
Cbd Belapur,5198.83,2.0,3.0,16.0,13.0,11.0,0,1,58572703.0,11266.51631232412
Ulwe,1331.04,1.0,3.0,31.0,8.0,10.8,0,1,15490301.0,11637.742667387907
Cbd Belapur,771.12,1.0,4.0,11.0,25.0,13.9,1,1,14703647.0,19067.910312273056
Nerul,594.1,2.0,4.0,8.0,6.0,3.8,1,1,10356747.0,17432.666217808448
Belapur,1198.78,2.0,1.0,17.0,15.0,7.4,0,0,14601160.0,12180.01634995579
Cbd Belapur,612.7,4.0,3.0,9.0,38.0,21.0,0,0,12819062.0,20922.24906153093
Panvel,718.26,4.0,1.0,16.0,16.0,3.4,1,0,13531794.0,18839.68757831426
Kharghar,929.04,2.0,4.0,17.0,35.0,18.2,0,0,13429300.0,14455.028846981832
Panvel,831.96,2.0,4.0,3.0,28.0,13.9,0,0,11802558.0,14186.448867734025
Vashi,1062.25,2.0,3.0,4.0,36.0,18.6,0,0,19489923.0,18347.774064485762
Nerul,647.7,4.0,3.0,11.0,2.0,11.2,1,0,8966977.0,13844.336884360042
Ulwe,714.22,2.0,2.0,32.0,29.0,1.5,1,1,10383975.0,14538.90257903727
Ghansoli,4460.27,4.0,3.0,16.0,19.0,10.4,0,1,52946640.0,11870.7253148352
Panvel,854.91,2.0,1.0,9.0,25.0,9.4,1,1,13602445.0,15910.967236317274
Nerul,1108.24,2.0,3.0,34.0,26.0,5.0,0,0,12417738.0,11204.917707355808
Kharghar,2867.19,4.0,3.0,6.0,14.0,14.7,0,1,46962086.0,16379.132879230187
Panvel,742.56,2.0,4.0,9.0,16.0,1.1,0,0,12117017.0,16317.896196940315
Belapur,391.68,3.0,1.0,15.0,14.0,11.5,0,1,5622023.0,14353.612642973856
Nerul,859.41,2.0,1.0,18.0,8.0,2.2,1,0,14829561.0,17255.513666352497
Vashi,864.67,3.0,2.0,21.0,17.0,13.8,1,1,12060645.0,13948.263499369703
Ghansoli,763.72,2.0,3.0,24.0,2.0,18.2,1,0,11991412.0,15701.319855444402
Kharghar,1545.65,2.0,3.0,26.0,31.0,21.6,1,0,27779643.0,17972.79008831236
Airoli,318.25,4.0,1.0,16.0,26.0,8.9,0,0,5750475.0,18069.04948939513
Cbd Belapur,1590.52,4.0,3.0,23.0,23.0,6.8,0,0,32766683.0,20601.239217362876
Vashi,989.07,3.0,3.0,17.0,23.0,0.4,0,0,10644399.0,10762.027965664714
Cbd Belapur,1485.44,1.0,4.0,4.0,4.0,3.8,1,1,13646639.0,9186.933837785436
Kharghar,857.56,2.0,3.0,10.0,24.0,7.7,0,0,15933556.0,18580.106348243855
Cbd Belapur,478.22,2.0,2.0,25.0,13.0,16.6,1,1,6214148.0,12994.328969930157
Kharghar,861.24,3.0,2.0,23.0,10.0,0.1,0,0,18127195.0,21047.785750777948
Vashi,1101.53,1.0,1.0,17.0,19.0,12.2,0,0,15133803.0,13738.8931758554
Cbd Belapur,488.66,3.0,3.0,16.0,22.0,14.8,0,1,5272891.0,10790.510784594606
Nerul,1185.8,1.0,2.0,23.0,23.0,9.0,1,0,18035996.0,15209.981447124304
Vashi,850.46,2.0,3.0,34.0,17.0,13.3,1,0,16048242.0,18870.07266655692
Airoli,206.27,4.0,3.0,10.0,9.0,8.3,0,0,2538459.0,12306.486643719396
Airoli,1085.35,2.0,3.0,29.0,9.0,2.6,1,1,16484569.0,15188.251716036302
Panvel,452.07,3.0,1.0,19.0,20.0,8.1,0,0,5712246.0,12635.7555245869
Kharghar,1107.59,1.0,4.0,19.0,25.0,3.2,0,1,12823716.0,11578.035193528292
Nerul,945.08,4.0,3.0,28.0,18.0,7.0,1,0,11455589.0,12121.290261141914
Ulwe,537.2,2.0,4.0,26.0,10.0,12.0,0,0,5890064.0,10964.378257632166
Kharghar,668.07,4.0,3.0,3.0,15.0,22.9,0,0,12174785.0,18223.816366548413
Kharghar,1198.22,3.0,3.0,31.0,17.0,7.0,1,1,13715419.0,11446.494800620922
Belapur,472.55,1.0,4.0,21.0,5.0,13.5,0,0,5700527.0,12063.330864458787
Panvel,589.94,2.0,3.0,9.0,8.0,5.5,1,0,6195682.0,10502.223954978472
Vashi,648.72,2.0,4.0,2.0,26.0,7.3,0,1,11067330.0,17060.25712171661
Ghansoli,999.57,1.0,3.0,16.0,29.0,3.2,1,1,17234469.0,17241.883009694167
Vashi,1140.73,2.0,3.0,16.0,5.0,5.1,0,0,12010489.0,10528.774556643553
Kharghar,965.02,2.0,3.0,23.0,36.0,14.6,1,0,13189802.0,13667.905328386976
Nerul,551.84,1.0,3.0,9.0,9.0,19.0,0,0,8032443.0,14555.746230791532
Nerul,1227.09,2.0,4.0,23.0,16.0,0.4,0,0,20204392.0,16465.289424573584
Airoli,841.04,4.0,4.0,20.0,5.0,4.6,1,1,16739291.0,19903.085465614004
Kharghar,1113.18,1.0,2.0,19.0,33.0,10.1,0,1,16041285.0,14410.324475826012
Nerul,1073.07,1.0,4.0,7.0,7.0,1.4,0,1,17730034.0,16522.718927935737
Kharghar,1375.11,2.0,3.0,14.0,23.0,3.6,0,0,16272747.0,11833.778388638
Nerul,1066.55,3.0,4.0,27.0,1.0,8.2,1,1,19341337.0,18134.48689700436
Panvel,858.56,3.0,4.0,34.0,6.0,2.0,0,0,13655228.0,15904.803391725682
Kharghar,248.29,4.0,4.0,29.0,9.0,8.6,1,1,6114694.0,24627.226227395386
Nerul,1433.31,3.0,2.0,23.0,4.0,2.5,0,0,22404782.0,15631.497722055941
Ghansoli,12.01,3.0,4.0,9.0,17.0,7.4,0,0,226992.0,18900.249791840135
Nerul,479.53,2.0,3.0,7.0,3.0,10.9,0,0,5085466.0,10605.104998644507
Ulwe,1664.94,3.0,1.0,30.0,13.0,6.5,0,1,21488508.0,12906.475909041766
Airoli,829.07,4.0,3.0,0.0,35.0,8.0,0,0,13311687.0,16056.167754230642
Kharghar,585.74,4.0,2.0,25.0,30.0,10.1,1,0,6861519.0,11714.27425137433
Panvel,872.52,3.0,3.0,21.0,27.0,11.2,1,1,10811592.0,12391.225416036308
Kharghar,167.06,2.0,2.0,26.0,8.0,4.0,0,0,2583704.0,15465.724889261342
Ghansoli,837.59,4.0,2.0,22.0,18.0,10.5,0,1,12142223.0,14496.618870807913
Panvel,456.97,2.0,4.0,9.0,7.0,6.8,0,0,7364907.0,16116.82823817756
Ulwe,1461.62,2.0,4.0,16.0,7.0,8.0,0,1,19728976.0,13498.02000519971
Kharghar,983.11,2.0,3.0,27.0,37.0,8.2,1,0,13813656.0,14050.977001556286
Ulwe,1047.24,2.0,1.0,25.0,13.0,6.2,0,1,12158425.0,11609.970016424124
Kharghar,1337.27,3.0,4.0,30.0,9.0,6.0,0,0,17822636.0,13327.62718074884
Panvel,9859.37,1.0,1.0,8.0,25.0,4.1,1,1,143709572.0,14575.93862488171
Vashi,985.46,2.0,4.0,3.0,20.0,9.2,0,1,11614294.0,11785.657459460555
Kharghar,5007.23,2.0,4.0,15.0,23.0,6.6,0,0,78147891.0,15607.01046287069
Cbd Belapur,992.36,1.0,2.0,30.0,10.0,11.5,0,0,13746869.0,13852.703655931315
Nerul,1639.88,1.0,3.0,14.0,6.0,6.3,0,0,16027500.0,9773.580993731248
Nerul,704.81,3.0,3.0,6.0,23.0,7.7,0,0,10921874.0,15496.19613796626
Kharghar,379.55,3.0,1.0,16.0,1.0,5.2,0,1,5523638.0,14553.123435647476
Cbd Belapur,564.08,2.0,1.0,14.0,21.0,5.5,0,0,5449266.0,9660.448872500354
Cbd Belapur,9254.87,2.0,2.0,19.0,11.0,13.9,1,1,139020762.0,15021.363022927388
Ulwe,4.82,2.0,3.0,23.0,3.0,4.0,0,1,78268.0,16238.17427385892
Kharghar,658.62,2.0,1.0,24.0,17.0,12.0,0,0,8764419.0,13307.246970939237
Kharghar,1145.45,2.0,1.0,11.0,13.0,2.4,0,0,17902200.0,15628.966781614212
Nerul,727.89,1.0,3.0,24.0,38.0,10.6,0,0,10648820.0,14629.71053318496
Vashi,324.08,4.0,2.0,22.0,11.0,8.6,1,1,4498940.0,13882.189582819057
Belapur,968.35,3.0,3.0,29.0,1.0,12.7,1,1,16643085.0,17187.055300253007
Nerul,924.75,2.0,1.0,18.0,2.0,10.4,0,1,12056954.0,13038.068667207353
Airoli,409.78,4.0,3.0,2.0,15.0,7.5,0,1,5386288.0,13144.340865830447
Kharghar,1577.02,1.0,4.0,10.0,26.0,15.5,0,0,19873603.0,12601.998072313605
Ulwe,2367.63,4.0,1.0,27.0,14.0,3.9,1,0,39990795.0,16890.643808365327
Ulwe,232.77,1.0,2.0,27.0,2.0,6.3,1,0,2835586.0,12181.922068995145
Ghansoli,881.9,2.0,2.0,24.0,24.0,6.4,0,1,15271643.0,17316.751332350606
Cbd Belapur,418.6,2.0,1.0,16.0,30.0,12.1,1,1,5720534.0,13665.871954132823
Ulwe,982.91,2.0,1.0,15.0,16.0,14.4,1,0,19480352.0,19819.059730799363
Belapur,871.41,2.0,3.0,1.0,3.0,6.8,0,1,8026538.0,9210.977610998267
Panvel,984.81,4.0,1.0,19.0,17.0,1.8,0,0,13661955.0,13872.6810247662
Nerul,1187.01,2.0,4.0,15.0,6.0,10.5,0,0,15327833.0,12912.977144253207
Kharghar,1046.3,2.0,4.0,6.0,1.0,23.6,0,1,13124327.0,12543.560164388799
Belapur,770.36,2.0,4.0,3.0,22.0,9.2,1,1,9360166.0,12150.379043564048
Kharghar,803.19,2.0,4.0,6.0,17.0,7.5,0,0,10317915.0,12846.1696485265
Panvel,1068.25,2.0,1.0,16.0,18.0,1.1,0,0,14511656.0,13584.512988532646
Panvel,992.88,2.0,3.0,13.0,38.0,6.1,1,1,12113178.0,12200.042301184434
Kharghar,1112.69,1.0,1.0,27.0,32.0,2.2,0,0,12473034.0,11209.801472108134
Panvel,966.51,4.0,1.0,30.0,13.0,14.2,1,0,19395654.0,20067.722010118883
Airoli,847.05,2.0,4.0,16.0,16.0,2.0,1,0,14709111.0,17365.103594829114
Ghansoli,957.54,4.0,4.0,12.0,34.0,12.2,1,1,16792924.0,17537.569187710174
Belapur,8999.11,1.0,4.0,12.0,9.0,11.3,0,0,103258834.0,11474.338462359055
Panvel,1183.83,2.0,3.0,34.0,9.0,8.0,0,0,19684995.0,16628.22787055574
Nerul,123.09,1.0,2.0,14.0,12.0,16.8,1,1,1429567.0,11613.997887724428
Belapur,886.9,2.0,3.0,10.0,35.0,4.1,0,1,14154814.0,15959.875972488444
Nerul,677.65,3.0,2.0,25.0,7.0,8.8,0,1,5754881.0,8492.409060724563
Airoli,448.68,3.0,3.0,17.0,10.0,8.3,0,1,8730053.0,19457.192208255325
Ulwe,748.54,2.0,1.0,23.0,19.0,7.0,0,0,12398927.0,16564.147540545597
Airoli,1190.05,2.0,1.0,0.0,16.0,5.6,0,0,17538963.0,14738.005125835049
Kharghar,5401.59,4.0,2.0,15.0,3.0,9.2,1,0,69093705.0,12791.364209427224
Ulwe,934.97,1.0,3.0,26.0,8.0,2.4,1,1,17439480.0,18652.448741670854
Belapur,1113.2,1.0,2.0,4.0,3.0,11.6,1,1,13577214.0,12196.563061444484
Panvel,938.71,4.0,3.0,9.0,33.0,16.2,0,0,12665272.0,13492.209521577484
Nerul,906.52,2.0,4.0,13.0,3.0,5.7,0,1,12583200.0,13880.774831222698
Belapur,1297.98,2.0,2.0,34.0,36.0,6.4,1,0,18172690.0,14000.747315058783
Belapur,929.51,2.0,3.0,32.0,23.0,11.8,0,0,16058661.0,17276.480080902842
Nerul,1143.51,2.0,2.0,6.0,6.0,11.3,1,0,13777763.0,12048.659828073214
Nerul,1051.48,2.0,2.0,2.0,24.0,2.6,1,0,16745391.0,15925.543995130673
Kharghar,912.85,4.0,1.0,2.0,4.0,0.4,1,0,15640231.0,17133.40746015227
Belapur,803.73,2.0,2.0,2.0,12.0,11.0,0,0,14330185.0,17829.60073656576
Panvel,1834.96,2.0,1.0,25.0,19.0,10.3,0,1,22186480.0,12090.988359419278
Nerul,3182.47,4.0,4.0,25.0,5.0,3.9,0,0,43678454.0,13724.70251094276
Panvel,45.27,1.0,3.0,2.0,10.0,2.2,1,0,1117238.0,24679.43450408659
Nerul,1522.15,2.0,1.0,6.0,31.0,6.6,1,0,24592384.0,16156.347271950857
Panvel,614.21,2.0,3.0,16.0,9.0,15.9,0,1,9536986.0,15527.239869100144
Kharghar,401.99,3.0,2.0,9.0,5.0,14.4,0,0,5079265.0,12635.301873180924
Belapur,1042.02,4.0,4.0,21.0,14.0,8.7,0,1,18360608.0,17620.206905817548
Panvel,796.41,3.0,3.0,29.0,32.0,9.5,1,1,11323897.0,14218.677565575521
Belapur,1087.52,2.0,3.0,19.0,37.0,7.7,1,1,9784169.0,8996.7715536266
Ghansoli,3788.7,1.0,4.0,22.0,9.0,23.2,0,1,58093479.0,15333.354184812733
Cbd Belapur,1574.9,3.0,1.0,5.0,20.0,11.7,1,1,19923983.0,12650.951171502951
Panvel,718.71,3.0,1.0,10.0,39.0,14.7,0,1,13101308.0,18228.921261705
Ghansoli,933.41,2.0,1.0,13.0,1.0,1.4,0,0,11567715.0,12392.962363805831
Ghansoli,1577.95,3.0,4.0,5.0,28.0,8.4,0,0,31516423.0,19973.017522735194
Nerul,937.18,2.0,2.0,21.0,24.0,8.2,1,1,13082156.0,13959.064427324527
Kharghar,778.39,2.0,1.0,15.0,21.0,2.2,1,0,8846548.0,11365.187116997906
Airoli,1676.64,2.0,4.0,31.0,26.0,3.2,0,0,21572741.0,12866.650563030822
Belapur,903.25,1.0,4.0,26.0,25.0,0.2,1,0,10098819.0,11180.535842789925
Panvel,1285.13,3.0,4.0,33.0,34.0,7.4,0,1,22940284.0,17850.555196750523
Ghansoli,26.68,3.0,1.0,4.0,31.0,23.8,1,0,932195.0,34939.842578710646
Airoli,1316.53,2.0,4.0,26.0,39.0,10.1,0,0,16186433.0,12294.769583678306
Panvel,1150.27,3.0,3.0,16.0,20.0,8.3,0,1,13429997.0,11675.517052518104
Belapur,881.69,3.0,2.0,32.0,25.0,2.6,0,1,11836611.0,13424.912384171306
Kharghar,609.44,4.0,4.0,11.0,11.0,9.1,1,1,9350546.0,15342.849173011287
Panvel,1233.97,1.0,4.0,23.0,13.0,14.4,0,1,12185741.0,9875.232785237891
Belapur,856.6,3.0,4.0,31.0,26.0,23.8,0,1,9762427.0,11396.716086855007
Cbd Belapur,1433.12,3.0,3.0,24.0,7.0,6.1,0,0,25426153.0,17741.817154181088
Panvel,133.11,2.0,3.0,2.0,37.0,17.7,0,1,2755057.0,20697.5959732552
Ghansoli,1004.73,2.0,3.0,29.0,36.0,0.9,0,1,13218227.0,13155.999124142805
Vashi,1313.9,3.0,2.0,31.0,14.0,6.8,1,1,21595119.0,16435.892381459777
Belapur,644.99,2.0,3.0,11.0,37.0,14.2,0,1,10283522.0,15943.692150265895
Kharghar,769.92,2.0,1.0,4.0,15.0,8.4,0,0,15332614.0,19914.554758935996
Belapur,1405.49,2.0,3.0,26.0,8.0,20.6,0,1,21096934.0,15010.376452340464
Nerul,697.66,2.0,1.0,26.0,15.0,6.2,0,0,7850089.0,11252.026775220022
Belapur,1621.08,3.0,3.0,5.0,36.0,4.7,0,1,28547343.0,17610.07661558961
Panvel,819.19,1.0,2.0,14.0,39.0,6.7,0,0,9437699.0,11520.7692965002
Kharghar,1235.84,3.0,4.0,10.0,20.0,4.3,0,1,18150059.0,14686.414908078717
Nerul,895.02,2.0,2.0,22.0,25.0,9.5,0,0,12218733.0,13651.910571830796
Kharghar,1231.49,1.0,1.0,23.0,36.0,2.6,0,1,22772462.0,18491.79611689904
Ghansoli,1732.87,2.0,3.0,31.0,15.0,6.9,1,0,18110169.0,10450.968047228009
Nerul,1218.81,2.0,2.0,21.0,29.0,5.5,1,0,13073456.0,10726.410186985668
Nerul,799.8,2.0,3.0,0.0,6.0,4.1,1,1,14365399.0,17961.239059764943
Kharghar,765.74,1.0,4.0,24.0,39.0,14.3,0,0,8703932.0,11366.693655810066
Airoli,1167.21,4.0,3.0,28.0,12.0,6.6,1,0,14350286.0,12294.519409532131
Kharghar,1738.35,2.0,3.0,24.0,24.0,7.9,1,0,22008701.0,12660.684557195042
Kharghar,1824.29,2.0,1.0,0.0,16.0,6.5,0,0,21500843.0,11785.869023017174
Kharghar,1011.62,2.0,3.0,2.0,8.0,7.7,1,1,13380852.0,13227.152488088412
Ghansoli,628.09,2.0,3.0,2.0,1.0,2.0,1,0,6095882.0,9705.427566113136
Panvel,1789.89,2.0,3.0,27.0,39.0,6.5,1,1,17638961.0,9854.773757046521
Cbd Belapur,269.93,2.0,2.0,25.0,39.0,3.3,0,0,4861380.0,18009.780313414587
Panvel,1431.85,2.0,3.0,9.0,39.0,13.1,1,1,24472020.0,17091.189719593534
Ghansoli,1124.62,2.0,3.0,6.0,27.0,13.4,1,0,17165804.0,15263.648165602604
Panvel,238.51,2.0,4.0,29.0,19.0,17.0,0,0,3228617.0,13536.610624292483
Panvel,9859.37,1.0,1.0,8.0,25.0,4.1,1,1,143709572.0,14575.93862488171
Cbd Belapur,1012.85,4.0,2.0,1.0,19.0,9.1,0,1,17787075.0,17561.410870316435
Panvel,478.99,3.0,4.0,10.0,11.0,9.4,0,0,9470667.0,19772.160170358464
Nerul,545.16,2.0,3.0,27.0,1.0,1.9,0,1,8182487.0,15009.331205517647
Ghansoli,1530.85,2.0,3.0,15.0,27.0,8.1,0,0,16959365.0,11078.397622236012
Nerul,711.02,2.0,4.0,9.0,12.0,11.4,1,0,7038059.0,9898.538719023376
Cbd Belapur,1210.45,2.0,4.0,11.0,24.0,7.2,0,1,18157159.0,15000.337890867033
Panvel,492.81,1.0,2.0,27.0,28.0,2.7,0,1,9380518.0,19034.755788234816
Panvel,811.32,3.0,1.0,24.0,17.0,13.8,1,0,8657909.0,10671.386136173149
Panvel,1300.7,3.0,2.0,19.0,1.0,11.3,0,0,23969023.0,18427.78734527562
Nerul,739.75,1.0,4.0,1.0,33.0,8.2,0,0,11394870.0,15403.676917877661
Cbd Belapur,1123.97,2.0,4.0,15.0,21.0,3.5,0,1,11620991.0,10339.235922666974
Kharghar,1295.83,3.0,3.0,12.0,18.0,15.7,1,0,15261303.0,11777.241613483251
Ulwe,1034.73,3.0,4.0,12.0,2.0,3.1,0,1,15061959.0,14556.414716882664
Ghansoli,681.47,3.0,3.0,9.0,28.0,8.8,1,1,12937596.0,18984.835722775762
Nerul,742.53,2.0,3.0,16.0,26.0,13.1,1,1,12200750.0,16431.32264016269
Kharghar,999.37,2.0,1.0,16.0,10.0,0.7,0,0,14971631.0,14981.069073516315
Cbd Belapur,790.93,3.0,1.0,6.0,1.0,0.9,0,0,16146466.0,20414.532259491993
Kharghar,438.03,1.0,3.0,2.0,23.0,6.6,0,0,5480381.0,12511.428440974363
Ulwe,70.48,3.0,3.0,23.0,33.0,10.6,0,0,984418.0,13967.338251986379
Nerul,1228.43,1.0,3.0,27.0,8.0,5.2,1,0,15280347.0,12438.9236667942
Panvel,873.8,4.0,3.0,10.0,30.0,9.9,0,1,10283192.0,11768.35889219501
Panvel,1102.62,2.0,3.0,22.0,18.0,11.8,0,0,10548042.0,9566.343799314362
Kharghar,245.89,3.0,3.0,26.0,7.0,2.3,0,0,3375725.0,13728.59815364594
Airoli,438.17,2.0,3.0,32.0,36.0,4.3,1,1,5072237.0,11575.956820412168
Panvel,1569.46,1.0,1.0,32.0,14.0,9.9,0,1,22801419.0,14528.193773654633
Nerul,1241.05,4.0,3.0,7.0,23.0,8.3,1,0,13865237.0,11172.182426171388
Panvel,925.65,3.0,1.0,0.0,15.0,0.5,0,0,14452896.0,15613.780586614812
Ulwe,241.9,3.0,3.0,14.0,22.0,1.8,0,1,5016522.0,20737.99917321207
Belapur,805.48,4.0,2.0,2.0,16.0,7.6,0,0,11671777.0,14490.461588121369
Ghansoli,941.19,2.0,3.0,9.0,38.0,14.7,0,1,15599686.0,16574.42811759581
Kharghar,4150.97,3.0,2.0,14.0,29.0,0.6,0,0,78168440.0,18831.36712623796
Cbd Belapur,705.35,2.0,4.0,18.0,20.0,5.7,0,0,7117545.0,10090.798894166017
Airoli,1234.78,3.0,4.0,25.0,30.0,2.2,1,0,23708314.0,19200.435705145857
